Learning Rate, Iterations, Test MSE, Training MSE, Test R^2, Training R^2
1e-05,1000,2.883432726742073,2.677318477555146,0.889998217393846,0.9048691334810502
1e-05,5000,2.88332219617452,2.6773207096379346,0.8900024340899216,0.9048690541703625
1e-05,7500,2.8833016109097636,2.677319322224522,0.890003219409377,0.9048691034681361
1e-05,10000,2.88313592154566,2.6773257438567724,0.8900095403910463,0.9048688752937722
1e-05,25000,2.883595873070069,2.677315275613865,0.8899919934279671,0.90486924725289
1e-05,50000,2.8833116260925262,2.6773198549540718,0.890002837334239,0.9048690845391129
1e-05,75000,2.8834800305259765,2.677316631802556,0.8899964127737814,0.9048691990645976
1e-05,100000,2.883428561148736,2.6773174272927602,0.8899983763095329,0.9048691707991249
5e-05,1000,2.883177231062639,2.6773166812008347,0.8900079644498203,0.9048691973093709
5e-05,5000,2.8830733948683354,2.6773232365657313,0.8900119257582866,0.9048689643831993
5e-05,7500,2.883127126633134,2.677320749490742,0.8900098759133724,0.9048690527543068
5e-05,10000,2.8831648942460886,2.677320806012138,0.8900084350943406,0.9048690507459803
5e-05,25000,2.88307027483346,2.6773253036744085,0.8900120447863447,0.9048688909343955
5e-05,50000,2.8833080265549182,2.677316561113674,0.8900029746551308,0.9048692015763252
5e-05,75000,2.8831842848164198,2.677319284962027,0.8900076953519903,0.9048691047921524
5e-05,100000,2.8834327968972717,2.6773157529925644,0.8899982147174538,0.9048692302906011
1e-06,1000,2.8833852349921947,2.6773204743390604,0.8900000291847358,0.904869062531036
1e-06,5000,2.8835766717187226,2.677315795067068,0.8899927259516903,0.9048692287956037
1e-06,7500,2.883555385603421,2.6773180275766406,0.8899935380083082,0.9048691494697514
1e-06,10000,2.883492636466502,2.677317537785344,0.8899959318622913,0.9048691668730865
1e-06,25000,2.883508718428341,2.6773174965572446,0.8899953183420057,0.9048691683380092
1e-06,50000,2.883308702782384,2.677318843845123,0.8900029488573288,0.9048691204659819
1e-06,75000,2.8835149164145633,2.677319199107806,0.889995081891359,0.904869107842737
1e-06,100000,2.8837058021322455,2.6773143835665087,0.8899877996790763,0.9048692789492453
5e-06,1000,2.8835488368109967,2.677315403506072,0.8899937878420684,0.9048692427086056
5e-06,5000,2.883254558660751,2.677328793092363,0.890005014433488,0.9048687669478932
5e-06,7500,2.8835218500242967,2.677316960214432,0.8899948173769753,0.9048691873954194
5e-06,10000,2.8836545052909086,2.6773142597775728,0.8899897566326535,0.9048692833477316
5e-06,25000,2.8834637187009178,2.677320827933901,0.8899970350632551,0.9048690499670531
5e-06,50000,2.8837050702740035,2.6773137897806136,0.8899878275991697,0.9048693000477315
5e-06,75000,2.8835089456249894,2.677316998043889,0.8899953096745462,0.9048691860512578
5e-06,100000,2.8833174576354708,2.6773259797788342,0.8900026148632539,0.9048688669109555
5e-07,1000,2.8834111208088293,2.677320946882639,0.8899990416513879,0.9048690457405494
5e-07,5000,2.8835570911596906,2.677316266286426,0.889993472942032,0.9048692120521695
5e-07,7500,2.883517795827612,2.677316776631561,0.8899949720429254,0.9048691939185125
5e-07,10000,2.883528909137734,2.6773157385011204,0.8899945480746765,0.9048692308055132
5e-07,25000,2.8834257288330902,2.677318521887745,0.8899984843612198,0.904869131905818
5e-07,50000,2.8835980214541204,2.6773154786315487,0.8899919114679917,0.9048692400392363
5e-07,75000,2.883540152489084,2.677316609784937,0.8899941191454077,0.9048691998469309
5e-07,100000,2.8835438978531953,2.6773159896297387,0.8899939762612944,0.9048692218823748
1e-08,1000,2.8833654936375988,2.67732518626334,0.8900007823093627,0.9048688951062626
1e-08,5000,2.883470508765355,2.6773185337169196,0.889996776025066,0.904869131485502
1e-08,7500,2.8836578568304523,2.677315117341216,0.8899896287727866,0.9048692528766565
1e-08,10000,2.88356565737803,2.67731588731287,0.8899931461442958,0.9048692255179126
1e-08,25000,2.88355749728816,2.6773161963268333,0.8899934574483965,0.9048692145379839
1e-08,50000,2.8834202112420217,2.677319389817673,0.8899986948550689,0.9048691010664065
1e-08,75000,2.8832200468874927,2.6773274782347825,0.8900063310435633,0.9048688136676025
1e-08,100000,2.883481038319792,2.6773181924873866,0.8899963743268584,0.904869143610119
